"year","SAM","min.val","max.val","dd_mean","dd_sd"
1995,"HCS_LT80","17","50",NA,NA
2002,"HCS_LT80","17","50",NA,NA
2009,"HCS_LT80","17","50",NA,NA
2016,"HCS_LT80","17","50",NA,NA
2023,"HCS_LT80","17","50",55.4992101192474,26.3427240256363
1998,"HCS_LT80","18.5","50",NA,NA
2005,"HCS_LT80","18.5","50",NA,NA
2012,"HCS_LT80","18.5","50",NA,NA
2019,"HCS_LT80","18.5","50",114.706608884475,84.6194509984833
1997,"HCS_LT80","18","50",NA,NA
2004,"HCS_LT80","18","50",NA,NA
2011,"HCS_LT80","18","50",NA,NA
2018,"HCS_LT80","18","50",NA,NA
1999,"HCS_LT80","19","50",129.721228599548,10.2107841418678
2006,"HCS_LT80","19","50",NA,NA
2013,"HCS_LT80","19","50",NA,NA
2020,"HCS_LT80","19","50",76.6081733703613,NA
1994,"LI_LT80","16.5","50",35.7094424111502,13.2420003340247
2001,"LI_LT80","16.5","50",191.353336334229,171.867738001244
2008,"LI_LT80","16.5","50",126.434489113944,128.863058493749
2015,"LI_LT80","16.5","50",170.748987053623,155.313014780705
2022,"LI_LT80","16.5","50",214.831337087295,160.111564468171
1993,"LI_LT80","16","50",175.851271820068,122.201041036464
2000,"LI_LT80","16","50",170.541565288197,147.008824123221
2007,"LI_LT80","16","50",150.326253467136,169.254970860427
2014,"LI_LT80","16","50",377.626089350382,282.738306689588
2021,"LI_LT80","16","50",222.829032452901,227.566048454413
1996,"LI_LT80","17.5","50",180.473548412323,179.893249363599
2003,"LI_LT80","17.5","50",244.233363072077,180.327424347253
2010,"LI_LT80","17.5","50",79.4529867172241,66.1509563841436
2017,"LI_LT80","17.5","50",213.32004799714,203.399910802458
1995,"LI_LT80","17","50",464.792790840412,289.500592573512
2002,"LI_LT80","17","50",423.506622552872,269.898458837945
2009,"LI_LT80","17","50",296.538544577521,210.483940033634
2016,"LI_LT80","17","50",268.41228413052,227.010742019016
2023,"LI_LT80","17","50",113.424542687156,116.01729933453
1998,"LI_LT80","18.5","50",149.584840774536,122.617913393922
2005,"LI_LT80","18.5","50",172.170680727277,157.432103541912
2012,"LI_LT80","18.5","50",248.175514782176,214.767398401275
2019,"LI_LT80","18.5","50",221.59223564148,237.555617157639
1997,"LI_LT80","18","50",116.707166512807,112.543990289877
2004,"LI_LT80","18","50",296.819177536737,195.126634432441
2011,"LI_LT80","18","50",262.479778970991,216.646605642721
2018,"LI_LT80","18","50",539.080725533622,311.858376354291
1999,"LI_LT80","19","50",356.300642104376,279.912582171068
2006,"LI_LT80","19","50",270.114181518555,181.384872425679
2013,"LI_LT80","19","50",141.153015681675,108.474963061235
2020,"LI_LT80","19","50",275.285132278096,213.109694699173
1994,"MAB_NEARSHORE_6_LT80","16.5","50",NA,NA
2001,"MAB_NEARSHORE_6_LT80","16.5","50",NA,NA
2008,"MAB_NEARSHORE_6_LT80","16.5","50",57.3799543380737,27.1783042250572
2015,"MAB_NEARSHORE_6_LT80","16.5","50",84.7580549910262,68.8323688104675
2022,"MAB_NEARSHORE_6_LT80","16.5","50",38.1384321848551,24.1780582348647
1993,"MAB_NEARSHORE_6_LT80","16","50",NA,NA
2000,"MAB_NEARSHORE_6_LT80","16","50",NA,NA
2007,"MAB_NEARSHORE_6_LT80","16","50",NA,NA
2014,"MAB_NEARSHORE_6_LT80","16","50",267.43652184065,207.503589341802
2021,"MAB_NEARSHORE_6_LT80","16","50",NA,NA
1996,"MAB_NEARSHORE_6_LT80","17.5","50",NA,NA
2003,"MAB_NEARSHORE_6_LT80","17.5","50",NA,NA
2010,"MAB_NEARSHORE_6_LT80","17.5","50",NA,NA
2017,"MAB_NEARSHORE_6_LT80","17.5","50",219.507190592149,133.194755689692
1995,"MAB_NEARSHORE_6_LT80","17","50",223.023512249901,172.376667307223
2002,"MAB_NEARSHORE_6_LT80","17","50",32.1185646057129,11.115629025442
2009,"MAB_NEARSHORE_6_LT80","17","50",77.3376865386963,27.7252246592202
2016,"MAB_NEARSHORE_6_LT80","17","50",141.080960569711,115.260270162053
2023,"MAB_NEARSHORE_6_LT80","17","50",219.06652709416,129.443282663875
1998,"MAB_NEARSHORE_6_LT80","18.5","50",NA,NA
2005,"MAB_NEARSHORE_6_LT80","18.5","50",NA,NA
2012,"MAB_NEARSHORE_6_LT80","18.5","50",NA,NA
2019,"MAB_NEARSHORE_6_LT80","18.5","50",117.825467241727,81.6488137615654
1997,"MAB_NEARSHORE_6_LT80","18","50",NA,NA
2004,"MAB_NEARSHORE_6_LT80","18","50",NA,NA
2011,"MAB_NEARSHORE_6_LT80","18","50",83.0783710479736,55.3664927906479
2018,"MAB_NEARSHORE_6_LT80","18","50",191.495802688599,117.074170495902
1999,"MAB_NEARSHORE_6_LT80","19","50",258.231956863403,201.444996682635
2006,"MAB_NEARSHORE_6_LT80","19","50",19.0128784179688,NA
2013,"MAB_NEARSHORE_6_LT80","19","50",NA,NA
2020,"MAB_NEARSHORE_6_LT80","19","50",292.83261920929,218.922139290605
1994,"MAB_NEARSHORE_LT80","16.5","50",NA,NA
2001,"MAB_NEARSHORE_LT80","16.5","50",50.9744217395782,34.7920915050697
2008,"MAB_NEARSHORE_LT80","16.5","50",293.144797065041,84.4326208813019
2015,"MAB_NEARSHORE_LT80","16.5","50",565.167483193534,205.132963271487
2022,"MAB_NEARSHORE_LT80","16.5","50",81.29589955012,20.2329635965971
1993,"MAB_NEARSHORE_LT80","16","50",NA,NA
2000,"MAB_NEARSHORE_LT80","16","50",NA,NA
2007,"MAB_NEARSHORE_LT80","16","50",NA,NA
2014,"MAB_NEARSHORE_LT80","16","50",724.049199240548,137.056154114201
2021,"MAB_NEARSHORE_LT80","16","50",19.1820735931396,NA
1996,"MAB_NEARSHORE_LT80","17.5","50",NA,NA
2003,"MAB_NEARSHORE_LT80","17.5","50",NA,NA
2010,"MAB_NEARSHORE_LT80","17.5","50",NA,NA
2017,"MAB_NEARSHORE_LT80","17.5","50",313.163159370422,198.876568702416
1995,"MAB_NEARSHORE_LT80","17","50",361.840266704559,164.386837640785
2002,"MAB_NEARSHORE_LT80","17","50",83.8796666463216,49.1201856941957
2009,"MAB_NEARSHORE_LT80","17","50",188.91489301409,114.063356293405
2016,"MAB_NEARSHORE_LT80","17","50",239.617128665631,205.657075005195
2023,"MAB_NEARSHORE_LT80","17","50",367.15628692082,157.900095983238
1998,"MAB_NEARSHORE_LT80","18.5","50",NA,NA
2005,"MAB_NEARSHORE_LT80","18.5","50",NA,NA
2012,"MAB_NEARSHORE_LT80","18.5","50",178.623484134674,165.631584937153
2019,"MAB_NEARSHORE_LT80","18.5","50",274.690206663949,87.9266968704765
1997,"MAB_NEARSHORE_LT80","18","50",NA,NA
2004,"MAB_NEARSHORE_LT80","18","50",NA,NA
2011,"MAB_NEARSHORE_LT80","18","50",347.964415232341,169.269696804081
2018,"MAB_NEARSHORE_LT80","18","50",70.6340840657552,40.8863751726199
1999,"MAB_NEARSHORE_LT80","19","50",556.608333905538,326.749358278977
2006,"MAB_NEARSHORE_LT80","19","50",246.756249109904,181.832092875478
2013,"MAB_NEARSHORE_LT80","19","50",19.2428665161133,NA
